ru_word,en_word,transcription,example_en,example_ru
конкурентный,competitive,[kəmˈpetɪtɪv],Competitive Offering with Low Spreads,Конкурентные условия с узкими спредами
конкурент,competitor,[kəmˈpetɪtə],"American Housekeeping, that's our competitor.","""Американское домоводство"" - вот наш конкурент."
собирать,compile,[kəmˈpaɪl],"Compile, maintain and disseminate key statistics on the operation of the housing sector;","собирать, обновлять и распространять ключевые статистические данные о деятельности в жилищном секторе;"
жаловаться,complain,[kəmˈpleɪn],Politicians and businesspeople will complain.,Политики и бизнесмены будут жаловаться.
жалоба,complaint,[kəmˈpleɪnt],You can make a complaint.,Можете подать жалобу.
дополнять,complement,[ˈkɔmplɪmənt],Diverse cultures should complement and enhance one another.,Различающиеся культуры должны дополнять и совершенствовать друг друга.
полный,complete,[kəmˈpli:t],Complete and total hegemonic domination.,Полное и всецелое авторитарное доминирование.
завершать,complete,[kəmˈpli:t],Step 3: Complete the transition,Шаг 3. Завершите переход
завершение,completion,[kəmˈpli:ʃən],"On the Completion page, click Finish.",На странице Завершение нажмите кнопку Готово.
сложный,complex,[ˈkɔmpleks],Simple solutions to complex problems.,Простые решения сложных проблем.
комплекс,complex,[ˈkɔmpleks],Apartment complex over by rush.,Сделал набег на жилой комплекс.
сложность,complexity,[kəmˈpleksɪtɪ],The Global Age of Complexity,Глобальная эпоха Сложности
соблюдение,compliance,[kəmˈplaɪəns],Increasing compliance with technical regulations;,более строгое соблюдение технических регламентов;
сложный,complicated,[ˈkɔmplɪkeɪtɪd],"Even this problem, too complicated.","Даже эта проблема, слишком сложная."
осложнение,complication,[ˌkɔmplɪˈkeɪʃən],What if some complication required their premature awakening?,"Что, если осложнения на борту потребуют их досрочного пробуждения?"
соответствовать,comply,[kəmˈplaɪ],All ads must comply with Ads policy.,Вся реклама должна соответствовать правилам размещения рекламы.
компонент,component,[kəmˈpəunənt],Component 2: other support services,Компонент 2: прочее вспомогательное обслуживание
составлять,compose,[kəmˈpəuz],"Compose your message, and then send it.","Составьте сообщение, а затем отправьте его."
композитор,composer,[kəmˈpəuzə],A Mexican composer: Arturo Marquez.,мексиканского композитора Артуро Маркеса.
состав,composition,[ˌkɔmpəˈzɪʃən],Ingot or coating material source composition;,Состав слитка или источника материала покрытия;
соединение,compound,['kɔmpaund],Hexachlorobutadiene (HCBD) is a halogenated aliphatic compound.,Гексахлорбутадиен (ГХБД) является галоидированным алифатическим соединением.
всеобъемлющий,comprehensive,[ˌkɔmprɪˈhensɪv],Joint Comprehensive Plan of Action,Совместный всеобъемлющий план действий по иранской ядерной программе
включать,comprise,[kəmˈpraɪz],Passenger trains comprise both long and short distance transport.,"Пассажирские поезда включают поезда как дальнего, так и ближнего следования."
компромисс,compromise,,Compromise would smack of weakness.,Компромисс будет признаком слабости.
идти на компромисс,compromise,,He did not need to compromise.,Ему незачем было идти на компромисс.
обязательный,compulsory,[kəmˈpʌlsərɪ],Byline is a compulsory element.,Байлайн — это обязательный элемент.
вычислять,compute,[kəmˈpju:t],"Imagine if our buildings, our bridges, machines, all of our bricks could actually compute.","Представьте, что наши здания, мосты, машины, все наши кирпичи могли бы производить вычисления."
компьютер,computer,[kəmˈpju:tə],"Computer, Jamaican Joy Juice, hot!","Компьютер, ямайский веселый сок, горячий!"
скрывать,conceal,[kənˈsi:l],You can't even conceal his name.,А вы даже не можете скрыть его имя.
признавать,concede,[kənˈsi:d],But Obama's team does concede one point:,Но команда Обамы действительно признает один момент:
задумывать,conceive,[kənˈsi:v],"I think that when the authorities conceive such strategies, they assume that the outcome will be manageable.","Думаю, что когда власти задумывают подобные стратегии, они полагают, что результат будет управляемым."
сконцентрироваться,concentrate,[ˈkɔnsəntreɪt],Couldn't concentrate at home.,Не мог сконцентрироваться дома.
концентрация,concentration,[ˌkɔnsənˈtreɪʃən],MPC means the maximum permitted concentration.,ПДК- предельно допустимая концентрация.
концепция,concept,[ˈkɔnsept],Sustainable procurement: concept and criteria,Экологически ответственная закупочная деятельность: концепция и критерии
концепция,conception,[kənˈsepʃən],"""legal ramifications of non-traditional conception""?","""юридические разветвления из нетрадиционной концепции""?"
озабоченность,concern,[kənˈsə:n],Syria is a special concern.,Сирия также вызывает особую озабоченность.
касаться,concern,[kənˈsə:n],This doesn't concern me.,Меня это не касается.
соответствующий,concerned,[kənˈsə:nd],"In the meantime, all concerned have been released on recognizance.",Тем временем все соответствующие лица были освобождены под залог.
концерт,concert,['kɔnsət],His concert was very good.,Его концерт был очень хорошим.
уступка,concession,[kənˈseʃən],"Putin, however, rejected the concession.",Вместе с тем Путин отверг эти уступки.
заключать,conclude,[kənˈklu:d],What do you conclude from that?,Что вы заключили из этого?
вывод,conclusion,[kənˈklu:ʒən],I put off the conclusion.,Я отложил вывод.
конкретный,concrete,[ˈkɔnkri:t],I need your concrete support.,мне нужна ваша конкретная поддержка.
бетон,concrete,[ˈkɔnkri:t],"Wood, concrete, steel to steel.","Дерево, бетон, сталь к стали."
осуждать,condemn,[kənˈdem],"""Condemn Taiwan, of course,"" he said.","""Конечно же, осуждайте Тайвань,"" сказал он."
условие,condition,[kənˈdɪʃən],This produces the smallest condition.,Выражение получает наименьшее из условий.
поведение,conduct,['kɔndʌkt],Such conduct was utterly improper.,"Разумеется, такое поведение было абсолютно неуместным."
проводить,conduct,['kɔndʌkt],Conduct campaign overview [AX 2012],Обзор проведения кампании [AX 2012]
совещаться,confer,[kənˈfə:],The administration zone will provide space for team officials to confer.,"За этим отсеком идет отсек для руководства команды, в котором можно проводить совещания."
конференция,conference,[ˈkɔnfərəns],The conference will end tomorrow.,Конференция завтра кончится.
признаваться,confess,[kənˈfes],"I confess: I do it, too.",Признаюсь: я тоже это делаю.
признание,confession,,"The confession tape, unedited, now.","Запись признания, неотредактированная, живо."
доверие,confidence,[ˈkɔnfɪdəns],Consumer confidence has picked up.,Индекс потребительского доверия вырос.
уверенный,confident,[ˈkɔnfɪdənt],I'm feeling pretty confident.,Я вполне уверен.
конфигурация,configuration,[kənˌfɪɡjuˈreɪʃən],Hardware malfunction or configuration error,Неисправность оборудования или ошибка конфигурации
ограничиваться,confine,[kənˈfaɪn],If you'll confine yourself to the main building.,Если вы ограничитесь главным зданием.
подтверждать,confirm,[kənˈfə:m],Confirm positive payment file (BankPositivePayConfirm),Подтвердить файл положительных платежей (BankPositivePayConfirm)
подтверждение,confirmation,[ˌkɔnfəˈmeɪʃən],A confirmation message should appear.,На экране должно появиться сообщение с подтверждением.
конфликт,conflict,['kɔnflɪkt],“Mercy killings” in armed conflict.,""" Убийства из сострадания "" в вооруженном конфликте."
конфликтовать,conflict,['kɔnflɪkt],Sometimes add-ins can conflict with Outlook.,Иногда с Outlook могут конфликтовать надстройки.
противостоять,confront,[kənˈfrʌnt],The Palestinians confront a harsh reality.,Палестинцы противостоят суровой действительности.
конфронтация,confrontation,[ˌkɔnfrʌnˈteɪʃən],"Avoid confrontation, keep eye contact.","Без конфронтации, не опускайте взгляд."
путать,confuse,[kənˈfju:z],Don't confuse Austria with Australia.,Не путайте Австрию с Австралией.
сбитый с толку,confused,[kənˈfju:zd],"Of course, they were confused.","Конечно, они были сбиты с толку."
запутывающий,confusing,,,
путаница,confusion,[kənˈfju:ʒən],The confusion has already begun.,Путаница уже началась.
поздравлять,congratulate,[kənˈɡrætjuleɪt],"I congratulate you, Lord Windermere.","Поздравляю вас, лорд Уиндермир."
конгрегация,congregation,[ˌkɔŋɡrɪˈɡeɪʃən],Ought to get yourself a collar and a congregation.,Вам следует обзавестись пасторским воротником и конгрегацией.
конгресса,congressional,[kɔŋˈɡreʃənl],It's a Congressional Medal of Honor.,Почетная медаль Конгресса.
подключать,connect,[kəˈnekt],Connect to same user account,Подключение к той же учетной записи пользователя
связанный,connected,[kəˈnektɪd],Apps connected to your account,"Приложения, связанные с аккаунтом"
связь,connection,[kəˈnekʃən],An example illustrates the connection.,Пример иллюстрирует эту связь.
завоевывать,conquer,[ˈkɔŋkə],I come to conquer Parisian women.,"Знайте, что я приехал завоевывать парижанок."
совесть,conscience,[ˈkɔnʃəns],The Conscience of a Conservative?,Совесть консерватора?
сознательный,conscious,[ˈkɔnʃəs],it's a conscious pattern.,это сознательный узор.
сознание,consciousness,[ˈkɔnʃəsnɪs],Public consciousness always uses stereotypes.,Общественное сознание всегда использует стереотипы.
подряд,consecutive,[kənˈsekjutɪv],Two consecutive passes by either player end the game.,Два пропуска подряд со стороны одного игрока означают завершение игры.
консенсус,consensus,[kənˈsensəs],A Global Consensus Against Terrorism,Глобальный консенсус против терроризма
согласие,consent,[kənˈsent],"""There was no informed consent.",— И никто не спрашивал их согласия.
соглашаться,consent,[kənˈsent],He'll never consent to petrosal vein sampling.,Он ни за что не согласится на взятие пробы из каменистой вены.
последствие,consequence,[ˈkɔnsɪkwəns],But this is a consequence.,Но это последствие
сохранение,conservation,[ˌkɔnsə:ˈveɪʃən],Conservation and restoration of biotopes;,сохранение и восстановление биотопов;
консервативный,conservative,[kənˈsə:vətɪv],My parents were pretty conservative.,Мои родители довольно консервативны.
консерватор,conservative,[kənˈsə:vətɪv],The Conscience of a Conservative?,Совесть консерватора?
сохранять,conserve,[kənˈsə:v],You'll notice I'm giving less updates to conserve battery power.,"Можно заметить, что я делаю меньше заметок для сохранения заряда."
рассматривать,consider,[kənˈsɪdə],What else can we consider?,Какие еще варианты мы можем рассмотреть?
значительный,considerable,[kənˈsɪdərəbl],"And here, there is considerable agreement.",А уж в этом вопросе существует значительное соглашение.
рассмотрение,consideration,[kənˌsɪdəˈreɪʃən],Discussion and questions for consideration:,Обсуждение и вопросы для рассмотрения:
состоять,consist,[kənˈsɪst],Number sequence formats consist of segments.,Форматы номерной серии состоят из сегментов.
последовательность,consistency,[kənˈsɪstənsɪ],But there’s a consistency here.,Но здесь отмечается определенная последовательность.
последовательный,consistent,[kənˈsɪstənt],experience more consistent and integrated.,в новую модель и последовательно ее реализовать.
консолидировать,consolidate,[kənˈsɔlɪdeɪt],You can consolidate monthly invoices.,Можно консолидировать ежемесячные накладные.
заговор,conspiracy,[kənˈspɪrəsɪ],It's a goddamn conspiracy.,Это долбаный заговор.
постоянный,constant,[ˈkɔnstənt],"Pulse is thready, but constant.","Пульс нитевидный, но постоянный."
избирательный округ,constituency,[kənˈstɪtjuənsɪ],"The late Geoffrey Dickens, M.P. was attending a fete in his constituency.","Покойный Джефри Дикенс, член парламента, присутствовал как-то на одном мероприятии в своем избирательном округе."
составлять,constitute,[ˈkɔnstɪtju:t],"Moreover, contributions from national budgets constitute the vast majority of revenues.","Кроме того, денежные поступления из национальных бюджетов составляют большую часть доходов."
конституция,constitution,[ˌkɔnstɪˈtju:ʃən],The EU Constitution Can Work,Конституцию ЕС можно привести в действие
конституционный,constitutional,[ˌkɔnstɪˈtju:ʃənl],A Constitutional Coup in Ukraine,Конституционный переворот в Украине
ограничение,constraint,[kənˈstreɪnt],Set up a shipment constraint,Настройка ограничения отгрузки
построить,construct,[kənˈstrʌkt],"So, the movement was democratic, and it could construct democracies.","Таким образом, это движение было демократическим по характеру, и оно могло построить демократии."
строительство,construction,[kənˈstrʌkʃən],Helipad construction for 17 camps,Строительство вертолетных площадок для 17 лагерей
консультироваться,consult,[kənˈsʌlt],• consult with clients regarding any questions concerning RoboForex’s services;,•Консультирование клиентов по сервисам компании.
консультант,consultant,,I work as a consultant.,Я работаю консультантом.
консультация,consultation,[ˌkɔnsəlˈteɪʃən],Regional consultation mechanisms remain weak.,Региональные механизмы консультаций по-прежнему слабые.
потреблять,consume,[kənˈsju:m],Contemporary Russians consume competitive products:,Сегодня россияне потребляют конкурентоспособную продукцию:
потребитель,consumer,[kənˈsju:mə],Asia needs a new consumer.,Азии требуется новая модель потребителя.
потребление,consumption,[kənˈsʌmpʃən],The case for collaborative consumption,Кейс о совместном потреблении
контакт,contact,[ˈkɔntækt],Tap or click a contact.,Выберите контакт.
обращаться,contact,[ˈkɔntækt],Contact your Office 365 administrator.,Обратитесь к администратору Office 365.
содержать,contain,[kənˈteɪn],Does it even contain humectants?,Может он хотя бы увлажнители содержит?
контейнер,container,[kənˈteɪnə],Adapt to plugin container width,Адаптировать под ширину контейнера плагина
рассматривать,contemplate,[ˈkɔntempleɪt],"They could also contemplate further, financial sanctions measures.","Они могут также рассмотреть новые, более строгие финансовые меры."
современный,contemporary,[kənˈtempərərɪ],"It's contemporary darling, no tutus.","Это современная постановка, дорогая, без пачек."
презрение,contempt,[kənˈtempt],Russia's Culture of Contempt,Российская культура презрения
утверждать,contend,[kənˈtend],"Others, however, contend that a flat tax is intrinsically unfair.","Другие, однако, утверждают, что пропорциональный налог - несправедливый."
претендент,contender,[kənˈtendə],Then it seems our leading contender is the Iron Leprechaun.,"Итак, похоже, наш главный претендент - Железный Лепрекон."
довольный,content,['kɔntent],He is content with the simple life.,Он доволен простой жизнью.
содержание,content,['kɔntent],MSExchange Content Filter EOD Sink,Приемник EOD фильтра содержания MSExchange
утверждение,contention,[kənˈtenʃən],But he undercut former acting attorney general Sally Yates’s contention that Moscow could have blackmailed Flynn.,"Но он с сомнением отнесся к утверждению бывшего исполняющего обязанности генерального прокурора Салли Йейтс (Sally Yates) о том, что Москва могла бы шантажировать Флинна."
конкурс,contest,['kɔntest],Diana never entered any contest.,Диана никогда не участвовала в конкурсах.
оспаривать,contest,['kɔntest],Don't - I won't contest custody.,Я не буду оспаривать единоличную опеку.
контекст,context,[ˈkɔntekst],Provide social context by default,Обеспечьте социальный контекст
континент,continent,[ˈkɔntɪnənt],There's the continent Africa.,"Африканского континента,"
продолжать,continue,[kənˈtɪnju:],And we continue to grow.,И продолжает расти.
постоянный,continuous,[kənˈtɪnjuəs],Continuous improvement and quality management;,постоянное совершенствование и управление качеством;
контракт,contract,['kɔntrækt],Claim 3- Cold Store Contract,Претензия 3- контракт на строительство холодильников
заключать,contract,['kɔntrækt],Compare bids and award a contract,Сравнение предложений и заключение контракта
подрядчик,contractor,[kənˈtræktə],Anna is our graphics contractor.,Анна — наш подрядчик по графическому оформлению.
противоречие,contradiction,,What explains this apparent contradiction?,Что же объясняет это очевидное противоречие?
противоположный,contrary,[ˈkɔntrərɪ],Her answer was quite the contrary.,Её ответ был совершенно противоположным.
обратное,contrary,[ˈkɔntrərɪ],But the contrary is true.,Но верно обратное.
контраст,contrast,['kɔntrɑːst],The contrast immediately springs to eyes.,Контраст сразу же бросается в глаза.
контрастировать,contrast,['kɔntrɑːst],Our current reality is in stark contrast to those hopes.,Однако современная реальность резко контрастирует с этими надеждами.
способствовать,contribute,[kənˈtrɪbju:t],Poverty and unemployment contribute to rampant criminality.,Бедность и безработица способствуют разгулу преступности.
вклад,contribution,[ˌkɔntrɪˈbju:ʃən],We thank you for your contribution.,Благодарим Вас за Ваш вклад.
вкладчик,contributor,[kənˈtrɪbjutə],Ghana has been a dedicated and regular contributor to those operations.,Гана является приверженным и регулярным вкладчиком в эти операции.
контроль,control,[kənˈtrəul],Fine motor control is improving.,Контроль за мелкой моторикой улучшается.
управлять,control,[kənˈtrəul],Insert a building block control,"Вставка элемента управления ""стандартный блок"""
спорный,controversial,[ˌkɔntrəˈvə:ʃəl],These programs are highly controversial.,Эти программы являются весьма спорными.
споры,controversy,[ˈkɔntrəvə:sɪ],Kim’s statement has invited criticism and controversy.,Заявление Ким вызвало критику и споры.
удобство,convenience,[kənˈvi:njəns],"For convenience, use named ranges",Для удобства используйте именованные диапазоны.
удобный,convenient,[kənˈvi:njənt],Convenient system of risk management;,Удобная система управления рисками;
конвенция,convention,[kənˈvenʃən],Certificate of origin (Kyoto Convention),Свидетельство о происхождении (Киотская конвенция)
обычный,conventional,[kənˈvenʃənl],This is the conventional nuclear fuel cycle.,Это топливный цикл обычного ядерного реактора.
разговор,conversation,[ˌkɔnvəˈseɪʃən],"Hakim, this conversation is over.","Хаким, этот разговор окончен."
конверсия,conversion,,Conversion values in custom conversions,Ценность конверсии в индивидуально настроенных конверсиях
преобразовывать,convert,['kɔnvɜːt],Select Home > Convert to SmartArt.,На вкладке Главная нажмите кнопку Преобразовать в SmartArt.
передавать,convey,[kənˈveɪ],Words cannot convey my feelings.,Словами не передать моих чувств.
осуждать,convict,['kɔnvɪkt],The convict was pardoned after serving his sentence.,"Осуждённый был помилован, после того, как отбыл свой срок."
убеждение,conviction,[kənˈvɪkʃən],Hitler lived by that conviction.,В соответствии с этим убеждением Гитлер и жил.
убеждать,convince,[kənˈvɪns],It is hard to convince John.,Джона трудно убедить.
убедительный,convincing,[kənˈvɪnsɪŋ],It has to be convincing.,Нужно быть убедительным.
повар,cook,[kuk],You are a good cook.,Вы - хороший повар.
готовить,cook,[kuk],She can't cook well.,Она не умеет хорошо готовить.
плита,cooker,[ˈkukə],"I was making my breakfast, and one of my kippers slipped down the back of the cooker.","Я готовил завтрак, и одна из моих рыбин выскользнула за плиту."
приготовление,cooking,,Cooking takes up too much time.,Приготовление пищи отнимает слишком много времени.
крутой,cool,[ku:l],"That's real cool, man.","Это круто, дружище."
охлаждать,cool,[ku:l],We cool them with breezes.,Мы охлаждаем их ветром.
сотрудничать,cooperate,[kəuˈɔpəreɪt],Some may cooperate; others do not.,"Некоторые сотрудничают друг с другом, другие нет."
совместный,cooperative,[kəuˈɔpərətɪv],Lying is a cooperative act.,Ложь - действие совместное.
координировать,coordinate,[kəu'ɔːdɪnət],What else is there to coordinate?,Что еще нужно координировать?
координация,coordination,[kəuˌɔ:dɪˈneɪʃən],This is cooperation without coordination.,Это кооперация без координации.
координатор,coordinator,,"Communications Office, Video Conference Coordinator","Группа по коммуникационному обеспечению, координатор видеоконференций"
коп,cop,[kɔp],It was that stupid cop.,Это все из-за тупорылого копа.
справляться,cope,[kəup],She will cope with difficult problems.,Она справится со сложными задачами.
медь,copper,[ˈkɔpə],"Looks like pure copper, though.","Разве что, что он выглядит как чистая медь."
копия,copy,[ˈkɔpɪ],Configuring mailbox database copy properties,Настройка свойств копии базы данных почтовых ящиков.
копировать,copy,[ˈkɔpɪ],How to copy an example,Копирование примера
авторское право,copyright,[ˈkɔpɪraɪt],Submit a copyright takedown notice,Как сообщить о нарушении авторских прав
основной,core,[kɔ:],Five core ingredients are required.,Потребуется пять основных ингредиентов.
ядро,core,[kɔ:],Core meltdown in Minus 60.,Расплавление ядра через 60 секунд.
угол,corner,[ˈkɔ:nə],"Check round the corner, Annie.","Проверь за углом, Анни."
корпоративный,corporate,[ˈkɔ:pərɪt],Corporate Liability for Human Rights,Корпоративная ответственность за права человека
корпорация,corporation,[ˌkɔ:pəˈreɪʃən],The corporation owns the software.,"Корпорация владеет кодом,"
правильный,correct,[kəˈrekt],Tell me the correct answer.,Скажи мне правильный ответ.
исправлять,correct,[kəˈrekt],Can it correct this deficiency?,Может ли страна исправить этот недостаток?
исправление,correction,[kəˈrekʃən],A correction is therefore necessary.,В этой связи необходимо внести соответствующее исправление.
коррелировать,correlate,[ˈkɔrɪleɪt],High-circulation newspapers correlate with high-circulation political parties.,Многотиражные газеты коррелируют с высокотиражными политическими партиями.
корреляция,correlation,[ˌkɔrɪˈleɪʃən],Equities and AUDJPY Historical Correlation,Историческая корреляция акций и AUDJPY.
соответствовать,correspond,[ˌkɔrɪsˈpɔnd],These correspond to different energy levels.,Это соответствует различным уровням энергии.
корреспонденция,correspondence,[ˌkɔrɪsˈpɔndəns],"For more information, see (RUS) About Correspondence.",Дополнительные сведения см. в разделе (RUS) О корреспонденции.
корреспондент,correspondent,[ˌkɔrɪsˈpɔndənt],"Annie Walker, foreign war correspondent.","Энни Уолкер, иностранный военный корреспондент."
соответствующий,corresponding,[ˌkɔrɪsˈpɔndɪŋ],Here's that corresponding footnote.,Вот эта соответствующая сноска.
коридор,corridor,[ˈkɔrɪdɔ:],Bilateral Safety Corridor Coalition (BSCC),"Организация коалиции двустороннего коридора безопасности (Bilateral Safety Corridor Coalition, BSCC)"
коррумпированный,corrupt,[kəˈrʌpt],The corrupt took full advantage.,"Таким образом, все преимущества оказывались у тех, кто был коррумпирован."
коррупция,corruption,[kəˈrʌpʃən],How Corruption Fuels Climate Change,Как коррупция способствует изменению климата
затраты,cost,[kɔst],"Debt restructuring, cost cutting, layoffs.","Реструктуризация долга, снижение затрат, увольнения."
стоить,cost,[kɔst],That owl cost five grand?,Это филин может стоить пять штук?
дорогостоящий,costly,[ˈkɔstlɪ],"Moreover, renewables are still costly.","Кроме того, возобновляемые источники энергии пока еще остаются довольно дорогостоящими."
костюм,costume,[ˈkɔstju:m],"Musical arrangements, rehearsals, costume fittings.","Музыка, постановка, костюмы - в лучших голливудских традициях."
коттедж,cottage,[ˈkɔtɪdʒ],I &apos;ll come by the cottage.,Я заеду к тебе в коттедж.
хлопок,cotton,[kɔtn],The Tyranny of King Cotton,Тирания короля-хлопка
мочь,could,[kæn],Indonesia can be one ally.,Одним из союзников может стать Индонезия.
совет,council,[ˈkaunsl],There's the student council.,И у нас есть ученический совет.
член совета,councillor,[ˈkaunsɪlə],,
рекомендация,counselling,,Free contraceptives and free counselling were available at special facilities that offered advice on family planning especially to young people.,"Бесплатные противозачаточные средства и бесплатные консультативные услуги предоставляются в специальных центрах, предлагающих рекомендации по вопросам планирования семьи, особенно для молодежи."
консультант,counsellor,[ˈkaunslə],With a marriage guidance counsellor.,Согласно с консультантом по браку.
количество,count,[.kaunt],Blood cell count of 642.,Количество лейкоцитов в крови - 642.
рассчитывать,count,[.kaunt],You can count on that,Вы можете рассчитывать на это
счетчик,counter,,"Honey, check the Geiger counter.","Дорогая, проверь показания счетчика."
противостоять,counter,,The EU Moves to Counter Russian Disinformation Campaign,ЕС намерен противостоять российской дезинформационной кампании
коллега,counterpart,[ˈkauntəpɑ:t],Coach Joachim Loew hugged his Brazilian counterpart.,Тренер Йоахим Лев обнял своего бразильского коллегу.
бесчисленный,countless,[ˈkauntlɪs],There are countless other possibilities.,Существует бесчисленное множество других возможностей.
страна,country,[ˈkʌntrɪ],The country is in peril.,Страна в опасности.
сельская местность,countryside,[ˈkʌntrɪsaɪd],"in the countryside, people just starve.",в сельской местности люди просто голодают.
округ,county,[ˈkauntɪ],"Three years ago, Dade County.","Три года назад, округ Дейд."
переворот,coup,[ku:],There's a coup government.,Там идет государственный переворот.
пара,couple,[ˈkʌpl],Just a couple weeks ago.,Пару недель назад.
мужество,courage,[ˈkʌrɪdʒ],The courage of ordinary death.,Мужество перед обычной смертью.
курс,course,[kɔ:s],A cookery course (29 attendees);,курсы кулинарного мастерства (29 участниц);
суд,court,[kɔ:t],The Court granted his request.,Суд удовлетворил его просьбу.
любезность,courtesy,[ˈkə:tɪsɪ],"Map of the motorcade route, courtesy of the secret service.","Карта маршрута кортежа, любезность секретной службы."
кузен,cousin,[ˈkʌzn],"Apparently, Cousin Rune told him.","Видимо, ему сказал кузен Рун."
покрытие,cover,[ˈkʌvə],A flat rate to cover the freight surcharge.,Фиксированная ставка для покрытия надбавки за транспортировку.
охватывать,cover,[ˈkʌvə],The proposals cover four broad areas.,Проекты охватывают четыре широкие области:
охват,coverage,[ˈkʌvərɪdʒ],First proof is the market coverage.,"Подтверждением, прежде всего, является охват рынка."
корова,cow,[kau],She typically buys a cow.,Обычно она покупает корову.
трещина,crack,[kræk],Tom saw a crack in the wall.,Том увидел трещину в стене.
взламывать,crack,[kræk],Felicity can crack the encryption.,Фелисити может взломать шифр.
судно,craft,[krɑ:ft],"Nothing ostentatious, just pleasure craft.","Ничего выдающегося, лишь прогулочные суда."
разрабатывать,craft,[krɑ:ft],The SCAF announced that it is forming a body of constitutional experts to craft several versions of a potential constitution.,"Высший совет вооруженных сил объявил, что формирует группу конституционных экспертов, чтобы разработать несколько версий потенциальной конституции."
крах,crash,[kræʃ],Russia's Coming Financial Crash,Предстоящий финансовый крах России
разбиваться,crash,[kræʃ],"RAYCHEM, DASHED EXPECTATIONS, AND THE CRASH",Raychem: разбитые надежды и падение
ползать,crawl,[krɔ:l],The baby began to crawl.,Ребёнок начал ползать.
сумасшедший,crazy,[ˈkreɪzɪ],"Oh, I love crazy eights.","Я люблю ""Сумасшедшие восьмерки""."
кремовый,cream,[kri:m],Shall I use cream shadow?,Я использую кремовые тени?
крем,cream,[kri:m],"Yeah, Jim has shaving cream.","Да, у Джима есть крем для бритья."
создавать,create,[kri:ˈeɪt],Create mass hire positions (form),Создать должности массового набора сотрудников (форма)
создание,creation,[kri:ˈeɪʃən],Job creation has picked up.,Создание рабочих мест ускорилось.
творческий,creative,[kri:ˈeɪtɪv],You're a creative person.,Ты творческая личность.
творчество,creativity,,• Encouragement of innovation and creativity.,• Стимулирование инноваций и творчества.
создатель,creator,[kri:ˈeɪtə],It's a value respecting the creator.,Ценности уважения создателей произведений.
существо,creature,[ˈkri:tʃə],Hippos are the deadliest creature.,Бегемоты являются самым смертоносным существом.
доверие,credibility,[ˌkrədɪˈbɪlɪtɪ],Damage to image and credibility.,Ущерб репутации и доверию.
вероятный,credible,[ˈkredəbl],But deterrence requires a credible threat of response against an attacker.,Однако сдерживание требует наличие вероятного ответа на действия нападающего.
кредитный,credit,[ˈkredɪt],Manually import credit card transactions,Импорт проводок по кредитной карте вручную
кредитовать,credit,[ˈkredɪt],Credit subscription transactions [AX 2012],Кредитование проводок по подписке [AX 2012]
подкрадываться,creep,[kri:p],Doubt and fear always creep in.,Когда к нам подкрадываются страх и сомнения.
экипаж,crew,[kru:],And so is the crew.,Вместе с экипажем.
преступление,crime,[kraɪm],We've committed no crime.,Мы не совершаем преступления.
уголовный,criminal,[ˈkrɪmɪnl],Criminal defense is your world.,Ваша стихия - уголовная адвокатура.
преступник,criminal,[ˈkrɪmɪnl],Fraternizing with a common criminal?,Братаешься с преступниками?
кризис,crisis,[ˈkraɪsɪs],Europe’s Crisis of Leadership,Кризис руководства в Европе
критерий,criterion,[kraɪˈtɪərɪən],Vendor evaluation criterion group (form),Группы критериев оценки поставщиков (форма)
критик,critic,[ˈkrɪtɪk],"""It is not the critic who counts.","""Не тот критик,"
критический,critical,[ˈkrɪtɪkəl],These governance costs appear critical.,Эти расходы по управлению становятся критическими.
критика,criticism,[ˈkrɪtɪsɪzm],That criticism contains some truth.,Эта критика имеет долю правды.
критиковать,criticize,[ˈkrɪtɪsaɪz],They all criticize the authorities.,Они все критикуют власть.
критический анализ,critique,[krɪˈti:k],"But many in China, from nationalist bloggers to social justice activists, advance a deeper critique of the Leviathan reserve.","Однако многие китайцы, от националистических блоггеров, до активистов социальной справедливости, подвергают левиафановские запасы более глубокому критическому анализу."
урожай,crop,[krɔp],The poppy crop has grown.,Созрел урожай мака.
крест,cross,[krɔs],I deserve the Military Cross.,Я заслужил свой Армейский крест.
пересекать,cross,[krɔs],Five bridges cross the Tyne,Пять мостов пересечь тайн
толпа,crowd,[kraud],The crowd cheered his deftness.,Толпа радостно захлопала.
переполненный,crowded,[ˈkraudɪd],But the stage is crowded.,Однако сцена переполнена.
корона,crown,[kraun],Who would take the crown?,Кто завоюет корону?
решающий,crucial,,This year will be crucial.,Этот год имеет решающее значение.
сырой,crude,[kru:d],Crude inventories increase sharply…again,Товарные запасы сырой нефти резко возросли… опять
жестокий,cruel,[kruəl],Young democracies can be cruel:,Новые демократии могут быть жестоки:
круизный,cruise,[kru:z],"Special international venues, such as airplanes and cruise ships","Специализированный международный транспорт (например, самолеты и круизные суда)"
путешествовать,cruise,[kru:z],,
сокрушать,crush,[krʌʃ],Corbyn didn't crush his opponents: He annihilated them.,"Корбин не просто сокрушил своих соперников, он их уничтожил."
крик,cry,[kraɪ],He held back a cry of agony.,Он сдержал крик боли.
плакать,cry,[kraɪ],"Do not cry, my sky.","Не плачь, доченька моя."
кристалл,crystal,[ˈkrɪstl],It's a lightsaber crystal.,Кристалл для светового меча.
